observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=630
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:13:19 INFO flushed spans=0 metrics=12 duration_ms=2 at=2026-05-12T05:13:19Z
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=otel.sdk.span.started value=190
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=648
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:13:46 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:14:20 INFO flushed spans=0 metrics=12 duration_ms=19 at=2026-05-12T05:14:20Z
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=otel.sdk.span.started value=196
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=666
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:14:47 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:15:21 INFO flushed spans=0 metrics=12 duration_ms=3 at=2026-05-12T05:15:21Z
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=otel.sdk.span.started value=202
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=684
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:15:49 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:16:22 INFO flushed spans=0 metrics=12 duration_ms=3 at=2026-05-12T05:16:22Z
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=otel.sdk.span.started value=208
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=702
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:16:50 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:17:24 INFO flushed spans=0 metrics=12 duration_ms=9 at=2026-05-12T05:17:24Z
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=otel.sdk.span.started value=214
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=720
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:17:51 INFO metric buffered service=python-service metric=http.server.duration value=0
